TITLE;Computer Science
Inversion of Qubit Energy Levels in Qubit-Oscillator Circuits in the Deep-Strong-Coupling Regime;1
Deep Multiple Instance Feature Learning via Variational Autoencoder;1
Regularity of envelopes in Kähler classes;0
$S^1$-equivariant Index theorems and Morse inequalities on complex manifolds with boundary;0
Internal Model from Observations for Reward Shaping;1
Characterizations of quasitrivial symmetric nondecreasing associative operations;1
Multivariate Dependency Measure based on Copula and Gaussian Kernel;0
The nature of the tensor order in Cd2Re2O7;0
Efficient and consistent inference of ancestral sequences in an evolutionary model with insertions and deletions under dense taxon sampling;1
Flow Characteristics and Cores of Complex Network and Multiplex Type Systems;1
Pattern-forming fronts in a Swift-Hohenberg equation with directional quenching - parallel and oblique stripes;0
Generalized Minimum Distance Estimators in Linear Regression with Dependent Errors;0
Live Service Migration in Mobile Edge Clouds;1
Induced density correlations in a sonic black hole condensate;0
Genus growth in $\mathbb{Z}_p$-towers of function fields;0
Topological Phases emerging from Spin-Orbital Physics;0
"Accurate and Diverse Sampling of Sequences based on a ""Best of Many"" Sample Objective";1
Exploring RNN-Transducer for Chinese Speech Recognition;1
A Debt-Aware Learning Approach for Resource Adaptations in Cloud Elasticity Management;1
Semi-simplicial spaces;0
Constraints, Lazy Constraints, or Propagators in ASP Solving: An Empirical Analysis;1
A Unified Approach to Nonlinear Transformation Materials;0
Stationary crack propagation in a two-dimensional visco-elastic network model;0
A note on the fundamental group of Kodaira fibrations;0
Photo-Chemically Directed Self-Assembly of Carbon Nanotubes on Surfaces;0
Split-and-augmented Gibbs sampler - Application to large-scale inference problems;0
Does a generalized Chaplygin gas correctly describe the cosmological dark sector?;0
The effects of subdiffusion on the NTA size measurements of extracellular vesicles in biological samples;0
Empirical regression quantile process with possible application to risk analysis;0
Primordial perturbations from inflation with a hyperbolic field-space;0
Role of Vanadyl Oxygen in Understanding Metallic Behavior of V2O5(001) Nanorods;0
Graph Convolution: A High-Order and Adaptive Approach;0
Learning Sparse Representations in Reinforcement Learning with Sparse Coding;1
Almost euclidean Isoperimetric Inequalities in spaces satisfying local Ricci curvature lower bounds;0
Exponential Sums and Riesz energies;0
One dimensionalization in the spin-1 Heisenberg model on the anisotropic triangular lattice;0
Memory Aware Synapses: Learning what (not) to forget;1
Uniform Spectral Convergence of the Stochastic Galerkin Method for the Linear Semiconductor Boltzmann Equation with Random Inputs and Diffusive Scalings;1
On Improving the Capacity of Solving Large-scale Wireless Network Design Problems by Genetic Algorithms;1
Quasi two-dimensional Fermi surface topography of the delafossite PdRhO$_2$;1
A Variational Characterization of Rényi Divergences;1
Interlayer coupling and gate-tunable excitons in transition metal dichalcogenide heterostructures;1
Enumeration of singular varieties with tangency conditions;0
In-home and remote use of robotic body surrogates by people with profound motor deficits;0
ClusterNet: Detecting Small Objects in Large Scenes by Exploiting Spatio-Temporal Information;1
Monte Carlo Tree Search with Sampled Information Relaxation Dual Bounds;1
Fermi-edge singularity and the functional renormalization group;0
"Towards ""AlphaChem"": Chemical Synthesis Planning with Tree Search and Deep Neural Network Policies";1
The quasi-Assouad dimension for stochastically self-similar sets;1
Influence of Spin Orbit Coupling in the Iron-Based Superconductors;1
Effect of Meltdown and Spectre Patches on the Performance of HPC Applications;0
Gene regulatory network inference: an introductory survey;0
Optic Disc and Cup Segmentation Methods for Glaucoma Detection with Modification of U-Net Convolutional Neural Network;1
Automatic Analysis, Decomposition and Parallel Optimization of Large Homogeneous Networks;1
Robust Contextual Bandit via the Capped-$\ell_{2}$ norm;0
Improper posteriors are not improper;1
Fault Tolerant Consensus Agreement Algorithm;1
Congestion Barcodes: Exploring the Topology of Urban Congestion Using Persistent Homology;1
Once in a blue moon: detection of 'bluing' during debris transits in the white dwarf WD1145+017;1
Viscous dynamics of drops and bubbles in Hele-Shaw cells: drainage, drag friction, coalescence, and bursting;1
Stacking-based Deep Neural Network: Deep Analytic Network on Convolutional Spectral Histogram Features;1
Superconductivity and Frozen Electronic States at the (111) LaAlO$_3$/SrTiO$_3$ Interface;1
Emittance preservation of an electron beam in a loaded quasi-linear plasma wakefield;1
Detection of Nonlinearly Distorted OFDM Signals via Generalized Approximate Message Passing;0
Nonlinear fractal meaning of the Hubble constant;0
SEA: String Executability Analysis by Abstract Interpretation;1
On the trade-off between labels and weights in quantitative bisimulation;0
Poynting's theorem in magnetic turbulence;0
Polar factorization of conformal and projective maps of the sphere in the sense of optimal mass transport;0
Representing numbers as the sum of squares and powers in the ring $\mathbb{Z}_n$;0
Spatial Regression and the Bayesian Filter;0
Behaviour of electron content in the ionospheric D-region during solar X-ray flares;1
Fractional compound Poisson processes with multiple internal states;1
Zero-point spin-fluctuations of single adatoms;0
Exploration-exploitation tradeoffs dictate the optimal distributions of phenotypes for populations subject to fitness fluctuations;0
Evaluating openEHR for storing computable representations of electronic health record phenotyping algorithms;1
Optimizing Mission Critical Data Dissemination in Massive IoT Networks;1
Interference of two co-directional exclusion processes in the presence of a static bottleneck: a biologically motivated model;0
Gaussian fluctuations of Jack-deformed random Young diagrams;0
Revisiting (logarithmic) scaling relations using renormalization group;0
Concentration of weakly dependent Banach-valued sums and applications to statistical learning methods;1
Evolution of the Kondo lattice electronic structure above the transport coherence temperature;0
On A Conjecture Regarding Permutations Which Destroy Arithmetic Progressions;1
Inverse monoids and immersions of cell complexes;0
Not even wrong: The spurious link between biodiversity and ecosystem functioning;1
Evidence of Fraud in Brazil's Electoral Campaigns Via the Benford's Law;1
A Berkeley View of Systems Challenges for AI;1
Equivariant infinite loop space theory, I. The space level story;1
Arithmetic purity of strong approximation for homogeneous spaces;0
Flatness results for nonlocal minimal cones and subgraphs;0
Effective Asymptotic Formulae for Multilinear Averages of Multiplicative Functions;0
On the apparent permeability of porous media in rarefied gas flows;0
Small subgraphs and their extensions in a random distance graph;0
Increasing the Reusability of Enforcers with Lifecycle Events;1
A Fast Interior Point Method for Atomic Norm Soft Thresholding;1
Optimal Experiment Design for Causal Discovery from Fixed Number of Experiments;1
Economically Efficient Combined Plant and Controller Design Using Batch Bayesian Optimization: Mathematical Framework and Airborne Wind Energy Case Study;1
The 10 phases of spin chains with two Ising symmetries;1
Generalized subspace subcodes with application in cryptology;1
Lagrangian fibers of Gelfand-Cetlin systems;0
A local ensemble transform Kalman particle filter for convective scale data assimilation;1
Tensor Robust Principal Component Analysis with A New Tensor Nuclear Norm;0
Resolving the age bimodality of galaxy stellar populations on kpc scales;0
Hidden long evolutionary memory in a model biochemical network;1
On Study of the Reliable Fully Convolutional Networks with Tree Arranged Outputs (TAO-FCN) for Handwritten String Recognition;1
Marcel Riesz on Nörlund Means;0
Mathematics of Isogeny Based Cryptography;1
Modeling of drug diffusion in a solid tumor leading to tumor cell death;0
Sensitivity analysis for inverse probability weighting estimators via the percentile bootstrap;0
From 4G to 5G: Self-organized Network Management meets Machine Learning;1
Cyber Risk Analysis of Combined Data Attacks Against Power System State Estimation;1
A New Family of Near-metrics for Universal Similarity;0
Poisoning Attacks to Graph-Based Recommender Systems;0
SU-RUG at the CoNLL-SIGMORPHON 2017 shared task: Morphological Inflection with Attentional Sequence-to-Sequence Models;1
"Neural system identification for large populations separating ""what"" and ""where""";1
On the Deployment of Distributed Antennas for Wireless Power Transfer with Safety Electromagnetic Radiation Level Requirement;1
A simulation technique for slurries interacting with moving parts and deformable solids with applications;0
Dissipative hydrodynamics in superspace;0
The Two-fold Role of Observables in Classical and Quantum Kinematics;1
On the isoperimetric quotient over scalar-flat conformal classes;1
On the Spectrum of Random Features Maps of High Dimensional Data;1
Minimum energy path calculations with Gaussian process regression;0
Evaluating Roles of Central Users in Online Communication Networks: A Case Study of #PanamaLeaks;1
Best polynomial approximation on the triangle;0
SecureTime: Secure Multicast Time Synchronization;0
Solving the multi-site and multi-orbital Dynamical Mean Field Theory using Density Matrix Renormalization;1
Topologically Invariant Double Dirac States in Bismuth based Perovskites: Consequence of Ambivalent Charge States and Covalent Bonding;1
Identitas: A Better Way To Be Meaningless;1
Learning from Between-class Examples for Deep Sound Recognition;1
DAGGER: A sequential algorithm for FDR control on DAGs;1
On nonlinear profile decompositions and scattering for a NLS-ODE model;1
Blockchain and human episodic memory;1
Epidemic Spreading and Aging in Temporal Networks with Memory;1
The Shattered Gradients Problem: If resnets are the answer, then what is the question?;0
Pr$_2$Ir$_2$O$_7$: when Luttinger semimetal meets Melko-Hertog-Gingras spin ice state;1
A 2-edge partial inverse problem for the Sturm-Liouville operators with singular potentials on a star-shaped graph;0
Jastrow form of the Ground State Wave Functions for Fractional Quantum Hall States;1
On a common refinement of Stark units and Gross-Stark units;1
An Integrated Decision and Control Theoretic Solution to Multi-Agent Co-Operative Search Problems;0
Chain effects of clean water: The Mills-Reincke phenomenon in early twentieth-century Japan;1
Learning Transferable Architectures for Scalable Image Recognition;0
Fast Multi-frame Stereo Scene Flow with Motion Segmentation;0
Pointed $p^2q$-dimensional Hopf algebras in positive characteristic;1
Weak Form of Stokes-Dirac Structures and Geometric Discretization of Port-Hamiltonian Systems;0
Clamped seismic metamaterials: Ultra-low broad frequency stop-bands;0
Difference analogue of second main theorems for meromorphic mapping into algebraic variety;1
An Effective Way to Improve YouTube-8M Classification Accuracy in Google Cloud Platform;1
Experimental Design of a Prescribed Burn Instrumentation;1
Seifert surgery on knots via Reidemeister torsion and Casson-Walker-Lescop invariant III;1
Sparse mean localization by information theory;0
Joint Power and Admission Control based on Channel Distribution Information: A Novel Two-Timescale Approach;0
A Closer Look at the Alpha Persei Coronal Conundrum;1
The challenge of realistic music generation: modelling raw audio at scale;1
Interpretations of family size distributions: The Datura example;0
Intersections of $ω$ classes in $\overline{\mathcal{M}}_{g,n}$;1
GENFIRE: A generalized Fourier iterative reconstruction algorithm for high-resolution 3D imaging;1
GANs Trained by a Two Time-Scale Update Rule Converge to a Local Nash Equilibrium;1
SPIRou Input Catalog: Activity, Rotation and Magnetic Field of Cool Dwarfs;1
Objective Procedure for Reconstructing Couplings in Complex Systems;1
Iteratively-Reweighted Least-Squares Fitting of Support Vector Machines: A Majorization--Minimization Algorithm Approach;1
Time-Series Adaptive Estimation of Vaccination Uptake Using Web Search Queries;1
Over Recurrence for Mixing Transformations;0
Joint Atlas-Mapping of Multiple Histological Series combined with Multimodal MRI of Whole Marmoset Brains;1
A Practical Approach for Successive Omniscience;1
Scholars on Twitter: who and how many are they?;0
General notions of regression depth function;0
Photonic topological pumping through the edges of a dynamical four-dimensional quantum Hall system;0
On Scalable Inference with Stochastic Gradient Descent;1
The g-Good-Neighbor Conditional Diagnosability of Locally Twisted Cubes;1
Coherence for lenses and open games;0
Streaming Algorithm for Euler Characteristic Curves of Multidimensional Images;1
An automata group of intermediate growth and exponential activity;0
Tuning across the BCS-BEC crossover in the multiband superconductor Fe$_{1+y}$Se$_x$Te$_{1-x}$ : An angle-resolved photoemission study;1
GroupReduce: Block-Wise Low-Rank Approximation for Neural Language Model Shrinking;0
Morphological characterization of Ge ion implanted SiO2 matrix using multifractal technique;1
Preliminary corrosion studies of IN-RAFM steel with stagnant Lead Lithium at 550 C;1
Magnetocapillary self-assemblies: locomotion and micromanipulation along a liquid interface;1
On asymptotically minimax nonparametric detection of signal in Gaussian white noise;0
Bayesian Metabolic Flux Analysis reveals intracellular flux couplings;0
Robust Estimation of Change-Point Location;0
Growing length scale accompanying the vitrification: A perspective based on non-singular density fluctuations;1
Many-Objective Pareto Local Search;1
From Natural to Artificial Camouflage: Components and Systems;0
Bayesian nonparametric inference for the M/G/1 queueing systems based on the marked departure process;1
On some polynomials and series of Bloch-Polya Type;0
Improvement in the UAV position estimation with low-cost GPS, INS and vision-based system: Application to a quadrotor UAV;1
Structured low rank decomposition of multivariate Hankel matrices;1
Linear time-periodic dynamical systems: An H2 analysis and a model reduction framework;0
Software metadata: How much is enough?;1
A Categorical Approach for Recognizing Emotional Effects of Music;0
Utilizing artificial neural networks to predict demand for weather-sensitive products at retail stores;1
Deformable Generator Network: Unsupervised Disentanglement of Appearance and Geometry;0
Gaussian Kernel in Quantum Paradigm;1
Learning to Succeed while Teaching to Fail: Privacy in Closed Machine Learning Systems;1
Performance of Energy Harvesting Receivers with Power Optimization;0
On Convergence Rate of a Continuous-Time Distributed Self-Appraisal Model with Time-Varying Relative Interaction Matrices;1
Closing the loop on multisensory interactions: A neural architecture for multisensory causal inference and recalibration;1
Block CUR: Decomposing Matrices using Groups of Columns;1
Synchronous Observation on the Spontaneous Transformation of Liquid Metal under Free Falling Microgravity Situation;1
Continuously tempered Hamiltonian Monte Carlo;0
Automated Synthesis of Safe Digital Controllers for Sampled-Data Stochastic Nonlinear Systems;1
Magnus integrators on multicore CPUs and GPUs;1
Scaling Law for Three-body Collisions in Identical Fermions with $p$-wave Interactions;1
An attentive neural architecture for joint segmentation and parsing and its application to real estate ads;1
Multilevel maximum likelihood estimation with application to covariance matrices;0
Auto-Meta: Automated Gradient Based Meta Learner Search;0
Convergence of the Forward-Backward Algorithm: Beyond the Worst Case with the Help of Geometry;1
Calibration-Free Relaxation-Based Multi-Color Magnetic Particle Imaging;0
Neural Machine Translation;0
On algebraically integrable domains in Euclidean spaces;1
Vocabulary-informed Extreme Value Learning;0
Cross-layer optimized routing with low duty cycle TDMA across multiple wireless body area networks;1
A Team-Formation Algorithm for Faultline Minimization;1
A Survey of Model Compression and Acceleration for Deep Neural Networks;1
Non-Parametric Calibration of Probabilistic Regression;1
Cyclotron resonant scattering feature simulations. II. Description of the CRSF simulation process;1
New quantum mds constacylıc codes;1
Infinitary first-order categorical logic;0
Stochastic Gradient Monomial Gamma Sampler;0
Gini estimation under infinite variance;0
Training Neural Networks Using Features Replay;1
The anti-spherical category;0
Trajectories and orbital angular momentum of necklace beams in nonlinear colloidal suspensions;1
Unified Treatment of Spin Torques using a Coupled Magnetisation Dynamics and Three-Dimensional Spin Current Solver;0
A XGBoost risk model via feature selection and Bayesian hyper-parameter optimization;1
Rheology of High-Capillary Number Flow in Porous Media;1
Quantum Charge Pumps with Topological Phases in Creutz Ladder;0
On Deep Neural Networks for Detecting Heart Disease;1
Exponential Stability Analysis via Integral Quadratic Constraints;1
Fermi acceleration of electrons inside foreshock transient cores;1
Quantum Speed Limit is Not Quantum;0
Adaptive Diffusion Processes of Time-Varying Local Information on Networks;0
ACVAE-VC: Non-parallel many-to-many voice conversion with auxiliary classifier variational autoencoder;1
Spectral analysis of jet turbulence;0
A dual framework for low-rank tensor completion;0
La notion d'involution dans le Brouillon Project de Girard Desargues;1
Framing U-Net via Deep Convolutional Framelets: Application to Sparse-view CT;0
Lie $\infty$-algebroids and singular foliations;0
Distinct evolutions of Weyl fermion quasiparticles and Fermi arcs with bulk band topology in Weyl semimetals;0
Assessing inter-modal and inter-regional dependencies in prodromal Alzheimer's disease using multimodal MRI/PET and Gaussian graphical models;0
On the economics of knowledge creation and sharing;0
Seismic fragility curves for structures using non-parametric representations;0
Metastable Markov chains: from the convergence of the trace to the convergence of the finite-dimensional distributions;1
Construction of embedded periodic surfaces in $\mathbb{R}^n$;0
A System of Three Super Earths Transiting the Late K-Dwarf GJ 9827 at Thirty Parsecs;0
State Sum Invariants of Three Manifolds from Spherical Multi-fusion Categories;1
Sparse Neural Networks Topologies;1
Human perception in computer vision;1
Analyses and estimation of certain design parameters of micro-grooved heat pipes;1
Merge decompositions, two-sided Krohn-Rhodes, and aperiodic pointlikes;1
Deep Multimodal Image-Repurposing Detection;1
DeepFense: Online Accelerated Defense Against Adversarial Deep Learning;1
Retrospective Higher-Order Markov Processes for User Trails;1
Frank-Wolfe with Subsampling Oracle;0
A mean value formula and a Liouville theorem for the complex Monge-Ampère equation;0
Bayesian Image Quality Transfer with CNNs: Exploring Uncertainty in dMRI Super-Resolution;1
Yu-Shiba-Rusinov bands in superconductors in contact with a magnetic insulator;0
Bayesian Optimization for Probabilistic Programs;1
Long-Term Load Forecasting Considering Volatility Using Multiplicative Error Model;1
Geometrically stopped Markovian random growth processes and Pareto tails;1
Mathematics of Topological Quantum Computing;1
Graph Clustering using Effective Resistance;0
Self-supervised learning: When is fusion of the primary and secondary sensor cue useful?;0
Playing Atari with Six Neurons;0
Contraction and uniform convergence of isotonic regression;0
A Systematic Approach for Exploring Tradeoffs in Predictive HVAC Control Systems for Buildings;1
On types of degenerate critical points of real polynomial functions;0
Contribution of Data Categories to Readmission Prediction Accuracy;1
Tropical recurrent sequences;1
Invariance of Weight Distributions in Rectified MLPs;1
Learning to Adapt by Minimizing Discrepancy;0
Incarnation of Majorana Fermions in Kitaev Quantum Spin Lattice;0
Haro 11: Where is the Lyman continuum source?;0
Typed Closure Conversion for the Calculus of Constructions;1
Untangling Planar Curves;0
Greedy-Merge Degrading has Optimal Power-Law;0
Radially distributed values and normal families;0
Characterizing Exoplanet Habitability;1
Deep Learning for Classification Tasks on Geospatial Vector Polygons;1
The Distance Standard Deviation;0
Combining learned and analytical models for predicting action effects;0
Leavitt path algebras: Graded direct-finiteness and graded $Σ$-injective simple modules;0
Ensemble Estimation of Mutual Information;0
Social media mining for identification and exploration of health-related information from pregnant women;1
The vortex method for 2D ideal flows in the exterior of a disk;1
Neeman's characterization of K(R-Proj) via Bousfield localization;1
Qualification Conditions in Semi-algebraic Programming;1
Curvature in Hamiltonian Mechanics And The Einstein-Maxwell-Dilaton Action;0
End-to-End Navigation in Unknown Environments using Neural Networks;1
A Combinatorial Approach to the Opposite Bi-Free Partial $S$-Transform;1
Roche-lobe overflow in eccentric planet-star systems;1
A short-orbit spectrometer for low-energy pion detection in electroproduction experiments at MAMI;1
A one-dimensional model for water desalination by flow-through electrode capacitive deionization;1
Deep Learning Scooping Motion using Bilateral Teleoperations;1
XFlow: 1D-2D Cross-modal Deep Neural Networks for Audiovisual Classification;1
Making Sense of Physics through Stories: High School Students Narratives about Electric Charges and Interactions;0
Preventing Hospital Acquired Infections Through a Workflow-Based Cyber-Physical System;1
OpenML Benchmarking Suites and the OpenML100;1
On orbifold constructions associated with the Leech lattice vertex operator algebra;0
From mindless mathematics to thinking meat?;0
Phase correction for ALMA - Investigating water vapour radiometer scaling:The long-baseline science verification data case study;1
On the $μ$-ordinary locus of a Shimura variety;0
Scatteract: Automated extraction of data from scatter plots;1
When the Universe Expands Too Fast: Relentless Dark Matter;0
Polygons with prescribed edge slopes: configuration space and extremal points of perimeter;0
An Asymptotically Efficient Metropolis-Hastings Sampler for Bayesian Inference in Large-Scale Educational Measuremen;0
When Streams of Optofluidics Meet the Sea of Life;1
L lines, C points and Chern numbers: understanding band structure topology using polarization fields;1
Willis Theory via Graphs;0
The Effect of Site-Specific Spectral Densities on the High-Dimensional Exciton-Vibrational Dynamics in the FMO Complex;0
Space dependent adhesion forces mediated by transient elastic linkages : new convergence and global existence results;0
On the nonparametric maximum likelihood estimator for Gaussian location mixture densities with application to Gaussian denoising;0
Gravitational wave production from preheating: parameter dependence;1
IP determination and 1+1 REMPI spectrum of SiO at 210-220 nm with implications for SiO$^{+}$ ion trap loading;0
Adaptive Model Predictive Control for High-Accuracy Trajectory Tracking in Changing Conditions;1
An enhanced method to compute the similarity between concepts of ontology;1
Eigenvalues of symmetric tridiagonal interval matrices revisited;0
PRE-render Content Using Tiles (PRECUT). 1. Large-Scale Compound-Target Relationship Analyses;0
The list chromatic number of graphs with small clique number;1
Topology of Large-Scale Structures of Galaxies in Two Dimensions - Systematic Effects;0
Wiki-index of authors popularity;0
Belyi map for the sporadic group J1;0
Convolution Semigroups of Probability Measures on Gelfand Pairs, Revisited;1
Toward Optimal Coupon Allocation in Social Networks: An Approximate Submodular Optimization Approach;0
Lefschetz duality for intersection (co)homology;0
Empirical determination of the optimum attack for fragmentation of modular networks;0
Stochastic Non-convex Optimization with Strong High Probability Second-order Convergence;0
On the optimality and sharpness of Laguerre's lower bound on the smallest eigenvalue of a symmetric positive definite matrix;1
Attitude Control of a 2U Cubesat by Magnetic and Air Drag Torques;1
"Random Forests, Decision Trees, and Categorical Predictors: The ""Absent Levels"" Problem";1
Temporal correlation detection using computational phase-change memory;1
Complexity and capacity bounds for quantum channels;0
Quantum Interference of Glory Rescattering in Strong-Field Atomic Ionization;1
On vector measures and extensions of transfunctions;0
Deep Within-Class Covariance Analysis for Robust Audio Representation Learning;1
Efficient Online Bandit Multiclass Learning with $\tilde{O}(\sqrt{T})$ Regret;1
Local Communication Protocols for Learning Complex Swarm Behaviors with Deep Reinforcement Learning;0
Towards exascale real-time RFI mitigation;0
Learning body-affordances to simplify action spaces;0
Cayley properties of the line graphs induced by of consecutive layers of the hypercube;0
Beyond the technical challenges for deploying Machine Learning solutions in a software company;1
Class-Splitting Generative Adversarial Networks;1
Dynamical system analysis of dark energy models in scalar coupled metric-torsion theories;0
J-MOD$^{2}$: Joint Monocular Obstacle Detection and Depth Estimation;0
The Calabi flow with rough initial data;1
Star Formation Activity in the molecular cloud G35.20$-$0.74: onset of cloud-cloud collision;1
Oblivious Routing via Random Walks;0
On Functional Graphs of Quadratic Polynomials;0
Helmholtz decomposition theorem and Blumenthal's extension by regularization;1
A homotopy decomposition of the fibre of the squaring map on $Ω^3S^{17}$;1
Spaces of orders of some one-relator groups;0
Adversarial Attacks on Neural Network Policies;1
Stellar streams as gravitational experiments I. The case of Sagittarius;1
Tuning quantum non-local effects in graphene plasmonics;0
Flows along arch filaments observed in the GRIS 'very fast spectroscopic mode';1
Rethinking Information Sharing for Actionable Threat Intelligence;0
More new classes of permutation trinomials over $\mathbb{F}_{2^n}$;1
Distributive Aronszajn trees;1
Analytical solutions for the radial Scarf II potential;0
Gated Multimodal Units for Information Fusion;0
Why Condorcet Consistency is Essential;0
Birefringence induced by pp-wave modes in an electromagnetically active dynamic aether;1
On generalizations of $p$-sets and their applications;1
Robot human interface for housekepeer with wireless capabilities;1
Modified Frank-Wolfe Algorithm for Enhanced Sparsity in Support Vector Machine Classifiers;1
Multi-Task Domain Adaptation for Deep Learning of Instance Grasping from Simulation;1
Bounded Depth Ascending HNN Extensions and $π_1$-Semistability at $\infty$;0
AirSim: High-Fidelity Visual and Physical Simulation for Autonomous Vehicles;1
Hausdorff dimensions in $p$-adic analytic groups;0
Real-time brain machine interaction via social robot gesture control;1
City-Scale Road Audit System using Deep Learning;0
Mass and moment of inertia govern the transition in the dynamics and wakes of freely rising and falling cylinders;0
It Takes Two to Tango: Towards Theory of AI's Mind;1
On variation of dynamical canonical heights, and Intersection numbers;0
Enhancing the Spectral Hardening of Cosmic TeV Photons by Mixing with Axionlike Particles in the Magnetized Cosmic Web;1
Forecasting in the light of Big Data;1
Adelic point groups of elliptic curves;0
Position Aided Beam Alignment for Millimeter Wave Backhaul Systems with Large Phased Arrays;1
Deep & Cross Network for Ad Click Predictions;1
Fan-type spin structure in uni-axial chiral magnets;0
Rotation of a synchronous viscoelastic shell;0
Direct estimation of density functionals using a polynomial basis;0
Experimental Evidence on a Refined Conjecture of the BSD type;1
The Tu--Deng Conjecture holds almost surely;1
Convergence Analysis of the Dynamics of a Special Kind of Two-Layered Neural Networks with $\ell_1$ and $\ell_2$ Regularization;1
From bare interactions, low--energy constants and unitary gas to nuclear density functionals without free parameters: application to neutron matter;1
EgoCap: Egocentric Marker-less Motion Capture with Two Fisheye Cameras (Extended Abstract);0
Diffusion Maps meet Nyström;0
Multiphase Flows of N Immiscible Incompressible Fluids: An Outflow/Open Boundary Condition and Algorithm;1
Deadly dark matter cusps vs faint and extended star clusters: Eridanus II and Andromeda XXV;1
Mutual Information, Relative Entropy and Estimation Error in Semi-martingale Channels;0
Testing redMaPPer centring probabilities using galaxy clustering and galaxy-galaxy lensing;0
Criterion of positivity for semilinear problems with applications in biology;1
